llaqtam
Uma
llaqtanqa
nisqaqa
de
icha
kay
distritu
huk
runakunam
San
sutiyuq
kawsachkanku
Yachay
watapi
kastilla
wan
llaqtapiqa
rimanku
runaqa
qhichwa
mana
astawan
Kay
lliwmanta
kan
mama
llaqtapi
kitilli
suyu
simikunatam
aswan
karqan
pruwinsya
Alma
runa
aymara
kantun
llaqta
chunka
munisipyupiqa
paqarisqa
ñiqin
Sunturnin
del
runakuna
chay
Chay
Huk
mater
chaymanta
kaq
nisqa
iskay
kachkan
munisipyu
llaqtayuq
La
ima
Suntur
Lima
la
Santa
simipi
pacha
Hatun
yachay
pulitiku
hina
kitillipi
allin
Churinkuna
hatun
pruwinsyapiqa
chanta
José
kiti
manam
mayu
Mama
achka
Nacional
kanku
ancha
Universidad
aswanta
Colegio
El
y
simi
Perú
kimsa
llaqtaqa
wata
Kamasqa
of
Editorial
kawsanku
qucha
warmiqa
raymi
wasi
Huwan
kaqmanta
Juan
Yachaywasi
wañusqa
qarqan
nispa
unquy
warmi
Iskay
tiyachkan
killa
uma
ñawpa
kaqpi
kaqwan
simitam
tiyanku
tukuy
wakin
Piruw
Chunka
Kastilla
tawa
watamanta
María
utaq
Mana
hunuchá
ichaqa
llaqtap
Antonio
Pedro
Qhichwa
sinchi
tiyan
riqsisqa
ayllu
suntur
Qhapaq
rimaqninmi
Kunan
Paykunaqa
kantunmi
risirwa
ñawpaq
en
pisi
waraniyi
Carlos
Musuq
México
Puerto
University
Urin
kanman
kaqqa
Aires
Aswan
Buenos
Santiago
musuq
runam
sapa
Pachantin
Ediciones
Francisco
Munisipyupiqa
pusaq
suyupiqa
Kimsa
kaqta
karqa
materː
parki
qhipaq
sumaq
Kupa
Luis
Madrid
Piluta
kamayuq
runakunaqa
Cultura
II
Tayta
indihina
lliw
Ankash
kawsay
nisqapi
watakama
Binidiktu
anafilaxia
nin
sichus
and
distritunmi
killapi
kuti
syn
Ñawpaq
Chayrayku
Griguryu
Quito
Qusqu
Umalliq
kaptin
kaspa
manchay
suqta
wamani
Chaymanta
Markus
achkha
hawa
mamallaqta
pachak
pichqa
suyup
A
Liyun
Pampa
Pawlu
amachaq
crup
in
kamasqa
kapun
pachapi
qhapaq
sutichasqa
yaqa
California
Llaqtap
Manuel
Miguel
Piruwpa
hampi
hinam
kikin
suyupi
Achka
Chinchay
Limaq
kanchu
kitillipipas
runakunata
simita
Fondo
III
Peruana
Pruwinsyapiqa
Villa
ama
llimphisqan
los
rimay
wak
Chawpi
Las
Wasi
karu
kasqa
kayta
nisqakunaqa
qanchis
qillqa
taripay
unquyta
yawar
Biblioteca
Centro
Nihun
Quechua
Santo
Sociedad
allpa
isqun
kawsachkan
kunan
manañam
pp
pukllaykuna
qallarirqan
Guadalupe
Krus
Rosa
Taytan
huklla
llaqtakuna
m
munan
nisqap
p
pampa
runakunap
waranqa
Ñawpa
ñiqi
Ana
Andrés
Diccionario
Editores
Estudios
Maman
Sebastián
Wakin
el
hunu
imaraykuchus
llaqtanmi
rurasqa
tukurqan
unqusqa
unquyqa
urqu
virus
yaku
Domingo
Hanan
I
Los
Tawa
iskayniyuq
quechua
raphi
runayuq
sutin
tiyaq
Ancha
Barcelona
Cambridge
Tukuy
Warmi
atin
awqaq
hanaq
hinallataq
kamarisqa
kaqkunaqa
nisqam
pi
wayra
Apuwasinyuq
Awya
College
Económica
Edición
Jesús
Kathuliku
Linguistics
Pichqa
Piruwpi
Puka
Qanchis
Rimana
Santu
The
Tupaq
chaypi
ichataq
kanmi
kusa
marka
ninchik
runakunamanta
runakunapaq
simimanta
the
umalliqnin
waq
yupayninqa
Díaz
Eccles
Fernando
Instituto
Inti
Javier
Kayqa
Kunanqa
Maria
Piyu
Premio
Pusaq
Runa
Río
anchata
chakra
kanqaku
kaqkuna
kaqman
manas
pruwinsyanmi
qillqasqa
rikusqa
rimaqniyuq
runakunapi
ruru
sunturnin
wiñan
American
Artes
Aymara
Bedoya
Católica
Escuela
General
Historia
Ima
Maypim
Pablo
Press
Urbanu
Uru
V
Wari
al
alli
hamun
hinaspa
kaqhina
kaqlla
kaqrayku
kikinpa
las
laya
llaqtakunapi
machu
nanay
ninku
nirqan
piluta
qallarin
qallupi
qhaway
rikhurin
rimaqnin
rumi
sisa
wasikuna
watayuq
wañurqan
yachaq
yapasqa
Ñiqi
ñawpagradupi
Agustín
Arte
Bellas
Buliwya
Concepción
Cristóbal
Cusco
Gutiérrez
Imprenta
John
Revista
Suqta
VII
XII
Yuraq
a
allinta
chawpi
chayqa
hukniyuq
kachi
kamachiy
kawsaq
kaykuna
kaypi
llapan
ninchikmi
nisqapas
niyta
qillqasqan
runap
ruruchinapaqmi
simiman
suti
wiñay
yachachin
Andina
Dictionary
Hukllachasqa
Isabel
Ispaña
Kawsay
Librería
Lliw
Qullu
School
Sichus
Tampu
Tomo
Urqu
VIII
Wak
Yala
hampikamayuq
hunumanta
kanqa
llaqtamanta
mitrum
munisipyunmi
musiku
nisqamanta
nisqawan
qhipa
qhipagradupi
qillqaq
qillqayta
quchamanta
rimaykunata
wasipi
yachachiq
ñan
Andinos
Anti
Awqaq
Caracas
Chaypi
Chile
Chili
Cruz
Cáceres
García
Hawa
IV
Ichaqa
Jorge
Kuraq
Ministru
Moreno
New
Nueva
Nuevo
Pacha
Paykuna
Seminario
Siglo
St
São
Tawantinsuyu
Truhillu
Universitaria
Valencia
Walla
X
Yale
akllasqa
amachasqa
chantapas
epinefrina
faringitis
imatapas
kaqkama
kasqan
kayqa
kutiqa
llapa
llaqtan
may
ministru
munisipyupi
nisqata
paqarin
pichqayuq
puka
pukllaq
rimaq
runakunapas
tukukun
ukhu
umalliqninmi
willan
yura
Allin
Ama
Amaru
Amirika
Bíblica
Carmen
Casa
Dyus
Educación
Fe
Grammar
Husiy
Inca
Inka
Jatun
Joseph
Juana
Kashamarka
Kichwa
Kunti
Lipis
Llaqta
Machu
Marcos
Mariscal
Matías
Merced
Mishiku
Museo
Obras
Pampas
Pichqantin
Pidru
Pikchunqa
Punta
Qosqo
Qullana
Ramón
Roberto
Unión
Wawakuna
Wayna
Wila
ahinataq
antanka
atinchu
chayta
edición
hampikuna
hukkunataq
huñusqam
inti
kachkanku
kaqkunata
kawsan
kuyuy
llaqtachapiqa
llaqtaman
manaraq
manaña
maypi
nir
niyan
pachan
para
pinchikilla
purin
qallu
quchap
qukun
respiratorias
rimachkanku
ruran
ruwakun
tarikun
tuktu
unqunayaq
urin
waranqachá
yachaqkuna
yachaywasikunapi
yupay
