kan
fi
hin
akka
isaa
ture
kana
yoo
tokko
waan
yeroo
keessa
keessatti
itti
gara
koo
irratti
dha
kun
jiru
keessaa
bara
nama
booda
na
isa
ni
irraa
mana
qabu
garuu
qaba
irra
osoo
ishee
hanga
malee
immoo
natti
jira
inni
bakka
of
isaanii
Yeroo
keenya
wal
Oromoo
kunis
adda
sana
baayyee
walitti
jedhu
guddaa
ykn
isaan
wajjin
jedhamu
Piiter
hunda
karaa
Bara
biraa
hojii
kutaa
kanaa
afaan
erga
ol
guyyaa
waliin
ani
jedhee
qofa
haa
naa
amma
biyya
Garuu
naannoo
turan
akkan
immo
sitti
kanaan
waggaa
lafa
Aanaa
kessatti
maqaa
argamu
kessa
akkasumas
jechuun
nu
sadarkaa
Kana
Akka
lama
ummata
dura
jechuu
miti
warra
ammoo
maal
Afrikaa
akkuma
Kan
ittiin
gadi
si
Afaan
Kiitii
abbaa
kuni
addaa
namoota
jedhama
kee
namni
nan
harka
jalqabaa
humna
taane
Itoophiyaa
Faandaan
iddoo
haala
jalqabe
jiran
gosa
yeroon
Kunis
ofii
bishaan
Kanaaf
isaas
iyyuu
mataa
Haa
tokkoo
aanaa
addunyaa
dandeenye
jedhe
walii
garaa
kanin
kiyya
siin
waraanaa
sababa
jalqaba
jecha
qaban
magaalaa
hafe
kanatti
Waan
Amma
illee
lamaan
beeku
godhe
seenaa
sun
Obbo
hunduu
jireenya
mootummaa
odoo
sirna
yaada
fuula
jala
kiitii
obbo
ti
argama
dhugaa
kanan
waraana
Maargoot
dhufe
naan
namoonni
yokan
bira
gaarii
qabne
gidduu
jiruu
namaa
too
Eeyyee
Teslaan
jedhamee
darbee
dhibee
addaan
duukaa
haaraa
jedha
Sana
hedduu
qabdu
biratti
gaafa
icciitii
ijoollee
ishii
Addunyaa
hundi
keenyaa
turre
xiqqoo
ija
rakkoo
waanti
Oromoon
argate
guddaan
jalaa
kanaaf
meeshaa
miira
qaama
turte
Abbaa
aadaa
fakkaata
jaarraa
muraasa
Gadaa
godhu
jalatti
sii
Erga
isheen
waanan
dhufu
kaasee
qabdi
tokkoon
Egaa
Mana
guutuu
maatii
manaa
qabsoo
barnoota
bayye
caalaa
duraa
hidhaa
jedhanii
ammaa
ati
irraan
sammuu
Akkuma
akkam
fakkaatu
himuu
nyaata
seelii
Kun
beeka
lafaa
lammaffaa
sanaa
uummata
Yoo
gochuu
kudha
Namoonni
achi
akkasii
gidduutti
godha
wayita
Aanaan
Ani
Inni
Sababiin
aabbaa
isaatti
namatti
carraa
dhimma
jedhamuun
jedheen
jettee
amantii
isaani
kompitara
nutti
sanatti
tokkotti
warri
Akkasumas
dhufee
aadde
barumsaa
haadha
kamiyyuu
sagantaa
barbaadu
darbe
dheeraa
fayyadamuun
hojjatu
kitaaba
osoon
seera
Guyyaa
akkas
deeme
jette
kaan
meetira
nuu
seete
siif
sirriitti
takkaa
argaman
lakkoofsa
sarkiyuutii
turee
yoon
Maqaan
dhiiga
dirqama
himu
Aadde
Karaa
Waraana
dhukkuba
durii
uume
barumsa
beekkama
duraan
fedhii
garee
jirru
jirutti
meeshaalee
sagalee
yookaan
Maal
Namni
caala
dhufan
jiraatu
kkf
naaf
qorannoo
shan
walakkaa
Oromiyaa
cimaa
ilma
jirti
kooti
sadii
sanyii
taatu
yaalii
Dhugaa
ajaja
amala
ammas
barnootaa
dhaloota
dubbii
mootummaan
nuti
qabatee
taate
uffata
Waggaa
Yuurooppi
arge
baayyeen
bifa
deemu
ergaa
gochaa
godhee
hime
isaaf
ofitti
tajaajila
Itti
Yeroon
and
dhufeenya
gochuun
harmee
jiraachuu
kanas
mucaa
waantota
Yuunivarsiitii
akkamitti
fudhatee
gad
gale
ganna
hundaa
ilaalcha
jedhan
karantii
kootti
laga
mala
malees
qabata
salphaa
wanti
Abbaan
Fakkeenyaaf
Haala
aabbaan
ala
ammayyaa
dhalate
gaaffii
haga
harmeen
kanarratti
kompitaraa
qabaachuu
saba
the
wayii
Innis
Maraatoonii
Piiteriin
baatirii
barsiisaa
dhumaa
eenyu
fayyadamu
gogaa
kuma
maaltu
miirri
mirga
olii
otoo
qofaa
tiyya
xiqqaate
Magaalaa
afur
argamti
bahee
dhiibbaa
dhuma
dorgommii
jalqabu
miliyoona
miseensa
oduu
qabuu
xiqqaa
yaaliin
Gara
Hanga
Kuush
Namoota
anaa
as
balaa
dubartii
gala
gargaarsa
ilaaluu
jalqabee
jedhaman
maqaan
olaanaa
onnee
tti
wantoota
yerro
Mariin
barate
duubatti
fufe
gudda
hafan
harkaa
hima
hojjatame
ifa
jalqaban
n
Isa
abbaan
baayyen
beekkamu
daangaa
dabalatee
deebiin
dhufa
dhufuu
fayyadaman
galgala
gammachuu
godhame
hagam
hundumaa
jechuudha
jireenyaa
keessoo
km
kunii
maaliif
qabee
qarqara
qilleensa
qillensa
qulqulluu
sochii
yaadu
Dubbii
anis
argatu
baayyinaan
bahaa
dhibeen
dubbatu
ergan
galee
gossa
hojjachuu
jedhame
jedhamuu
jirra
lubbuu
nagaa
qabame
seene
sirrii
ummatta
umurii
waa
Laga
Warri
amana
ana
baate
barbaada
beekama
biroo
biyyaa
biyyoota
deemee
dhiigaa
eenyummaa
galaa
galu
gochuuf
godina
hamaa
jiraatan
kanneen
kophaa
lamaa
lubbuun
olitti
takka
tiraanzisterii
umrii
xumure
yaaduu
Bakka
Kutaa
Olompiikii
aangoo
afuura
ammaatti
barbaachisaa
bilisa
buufata
deebii
fayyadamuu
fudhate
gadii
gahu
galatti
guutuutti
haalli
hedduun
hundaaf
isaati
jalqabaaf
jechi
jedhamutti
jiraachaa
marsaa
mata
muraasni
ogummaa
qabanii
qubee
taanaan
waraanni
Anis
Finfinnee
Isaan
Kireeler
Koloneel
Mootummaa
Oliiqaa
Qananiisaan
Teslaa
barreeffama
barreesse
beekkamaa
biraan
deemuu
dhabuu
dhiisuu
durbaa
gama
guddate
hamma
ifatti
iin
isaanis
jechoota
kompitarri
laata
mooraa
qaamaa
qawwee
saffisa
san
tokkoyyuu
Agarii
Arsii
Dr
anniisaa
barreessuu
biraatti
damee
fishiinii
gaazii
gabaabaa
guddina
hawaasa
hojjate
jijjiirama
mootii
nuun
saayinsii
salphaatti
sanaan
seenee
uumuu
vaayiresii
yookan
Aabbaan
Hayila
Kaleessa
abdii
addaatti
agarsiisa
alaa
dubartoota
dubbata
faa
fakkaatiin
fudhachuu
ganama
godhan
hojiirra
ibsu
isaaniif
isaanitti
kanarraa
kanuma
kenna
kilometers
kolonii
oole
parsentii
qabate
qabatu
qabna
qabuuf
ummataa
voolteejii
yaadannoo
yookiin
Abbabaan
Haalli
Jeneraal
KHG
Waraanni
agarsiisu
armaan
asii
baha
bahan
balbala
barachuu
barbaachisu
beekne
bulchiinsa
dafee
dandeettii
deeman
dhiira
dhiiraa
dijitaalaa
dubbachuuf
eegale
elektirikii
fudhatama
garba
gita
guyyoota
halkan
hojiin
hojjachaa
ibolaa
kennu
kuusaa
lamatti
mallattoo
mirgaa
namicha
nyaataa
odeeffannoo
ofirraa
oolu
qabeenya
qabnu
qabxii
square
Ameerikaa
Biriiten
Boodarra
Caamsaa
Dargii
Godina
Kuni
Meeppeen
Sheek
Tarii
The
antiraaksii
baaxii
bahe
bahuu
barattoota
beekamu
bilisummaa
boodarra
deema
deemuun
fayyadama
gahaa
galuu
guutummaa
hojjatan
hoo
in
innis
isheef
kaanii
kabaja
kallattii
kenne
kennuu
kessaa
kudhan
loon
lubbu
mara
qabamee
qofatu
siinqee
siyaasaa
suuta
tasa
tasaa
tolu
ummanni
wagga
ABOn
Firaansi
Harmeen
Jalqaba
Mosee
Nama
Osoo
Piyeer
Roontigan
Shaampiyoonaa
Waanti
aansee
afaanii
akkamii
alatti
argachuu
argamtu
baasu
baatee
ballina
barbaade
baruumsaa
biiroo
dheeraaf
dhuunfaa
diimaa
fakkii
fidu
gargaara
goota
guddoo
ilmaan
jaalala
jirre
jirtu
keessan
keessattis
kennaa
kibba
kuufannoo
lammii
mitii
mormii
qabamu
qarshii
raadiyoo
sirni
tokkoffa
torba
warraa
yoomillee
ABO
Ammas
Gaafa
Haaluma
Hoolaandi
Isaanis
Maalumaafuu
Maccaa
Marii
Poorchugaal
Sababa
Waaqayyo
aartii
achii
achuma
adunya
amantaa
argatan
argee
ayyaana
biyyotta
boodas
caalu
darbuu
dhagahame
dhibba
dubbachuu
dubbate
dubbisuu
duraatti
eegaa
eessa
fayyaa
gaafate
gargar
ibsa
ifaa
jedhamti
jedhuun
jettu
kamiiyyuu
konkolaataa
koon
loltoota
magaala
narra
niwuukilaaraa
ofiin
qabuun
qodaa
qooda
saddeet
taatee
tokkoffaa
tooftaa
torban
tureef
ulfaataa
uuma
uummanni
wanta
yaadaa
Baalee
Bilisummaa
Garba
Hojii
Maaliif
Magaalaan
Tulluu
Walumaa
a
akkana
akkasuma
argitee
baasee
barruu
bineensota
biyyatti
boombii
caalaatti
dabarsu
dachaa
darbu
deemaa
dhagahamu
dhiigni
dhiisee
fiyuuzyinii
fudhatu
fuudhee
guddachaa
gurguddaa
guutummaan
guyyaan
hangan
ijoollummaa
ilaaluun
irraatti
ittin
jedhuu
jennee
kenname
kitaabota
lola
lolaa
maashinii
mudate
narratti
qabaatu
qabachuu
qabaman
raajii
sirba
tahuu
tapha
tokkoof
turu
waanin
waldaa
xalayaa
yaalaa
yommuu
Adda
Baatiriin
Dhuguman
Gadaan
Haroon
II
Jechi
Kitaaba
Meeppee
Naannoo
Naazii
Raashiyaa
Sababni
Ummata
aanee
achitti
adii
argame
argatte
arguu
asattoo
bakki
beekta
boqonnaa
bulchaa
daldalaa
duree
gaafatiin
gahe
galle
galtee
gargaaruu
gidiraa
godhamu
gurguddoo
haati
hafeen
hafne
halluu
humnaa
ilaalu
ishe
jedhamtu
jiraata
jiranii
kiyyaa
kootii
maatiin
manni
miidhaa
nafxanyaa
nuuf
per
qophii
seena
shanii
sodaa
sodaan
taasise
tahe
tajaajilaa
tajaajilu
tarii
tola
umriin
uummataa
waanta
xixiqqoo
Dhihaa
Duusel
Guyyaan
Humna
I
Jimmaa
Kompitaroonni
Laatinii
Mahaammad
Mee
Mootummaan
Naayil
Oliiqaan
Si
Taayitaa
Ummanni
Waaqni
Walakkaa
Xaaliyaanii
ajajaa
akkamiin
amanu
argu
barachaa
bare
barreeffame
birra
bittaa
dabalataa
dabarse
dabarsuu
darban
dhaaba
dhagahama
diina
diinagdee
dubbatama
faayidaa
fayyadame
